taxa_name	pectoral_fin	pectoral_fin_inferred
Odontognathus_panamensis	1	1
Pimephales_promelas	1	2
Astroblepus_simonsii	1	2
Hypostomus_watwata	1	2
Paedocypris	1	2
Oryzias_latipes	1	2
Neoplecostomus_paranensis	1	2
Amphilius_atesuensis	1	2
Microdevario_kubotai	1	2
Bathybagrus_graueri	1	2
Apodichthys	1	1
Esox_niger	1	2
Notropis_oxyrhynchus	1	2
Euchiloglanis_davidi	1	2
Euchilichthys_guentheri	1	2
Lythrurus_ardens	1	2
Lepidorhombus_boscii	1	2
Relictus_solitarius	1	2
Heterotis	1	2
Lophiobagrus_aquilus	1	2
Pseudobagrus_pratti	1	2
Pteronotropis_welaka	1	2
Bryconops_alburnoides	1	2
Notropis_atrocaudalis	1	2
Exoglossum	1	2
Trichogenes_longipinnis	1	2
Rachycentron_canadum	1	1
Rineloricaria_jubata	1	2
Varasichthys_ariasi	1	2
Hypomasticus_despaxi	1	2
Auchenipterus_nuchalis	1	2
Gobionotothen_gibberifrons	1	2
Chiloglanis_sp._B_Vigliotta_2008	1	2
Micralestes_sp._Zanata_and_Vari_2005	1	2
Brycinus_aff._nurse_Zanata_and_Vari_2005	1	2
Gymnodraco_acuticeps	1	2
Gogangra_viridescens	1	2
Genidens_planifrons	1	2
Notropis_anogenus	1	2
Liobagrus_styani	1	2
Notropis_bairdi	1	2
Triodon_macropterus	1	1
Agosia_chrysogaster	1	2
Pseudotrematomus	1	2
Silurus_mento	1	2
Gvozdarus	1	2
Chiloglanis_sp._G_Vigliotta_2008	1	2
Tharsis_dubius	1	2
Corydoras_barbatus_sp._I_Britto_2003	1	2
Sabanejewia_aurata	1	2
Bryconops_affinis	1	2
Sciades_herzbergii	1	2
Glyptothorax_major	1	2
Breitensteinia_insignis	1	2
Brachyglanis_nocturnus	1	2
Sternarchorhamphus_muelleri	1	2
Silurus_glanis	1	2
Muraenidae	0	0
Leiocassis_micropogon	1	2
Chrysichthys_maurus	1	2
Assiculus	1	1
Eigenmannia_virescens	1	2
Noturus_flavus	1	2
Brycinus_imberi	1	2
Pterygoplichthys_etentaculatus	1	2
Tatia_boemia	1	2
Trichomycterus_catamarcensis	1	1
Ictalurus_lupus	1	2
Chaudhuria_fusipinnis	1	1
Liobagrus_nigricauda	1	2
Notropis_texanus	1	2
Oxydoras_niger	1	2
Tetragonopterus_argenteus	1	2
Parabrotulidae	1	2
Notropis_sp._"sawfin_shiner"_Coburn_and_Cavender_1992	1	1
Pimelodidae	1	2
Nemacheilus_rupecula	1	2
Bunocephalus_chamaizelus	1	2
Papyrocranus_congoensis	1	1
Hemigrammopetersius_barnardi	1	2
Hoplostethus_mediterraneus	1	2
Liparis_fabricii	1	2
Corydoras_bertoni	1	2
Pterodoras_sp._Royero_1999	1	2
Synodontis_sp._Mo_1991	1	2
Parastromateus_niger	1	1
Ixinandria_montebelloi	1	2
Macrognathus_pancalus	1	1
Sudis_atrox	1	2
Netuma_thalassina	1	2
Phenacorhamdia_sp._C_Bockmann_1998	1	2
Pagetopsis_maculatus	1	2
Schilbe_mystus	1	2
Leptobotia_curta	1	2
Astroblepus_grixalvii	1	2
Synodontis_notata	1	2
Parazen_pacificus	1	2
Pseudocheilinops	1	2
Corydoras_acutus	1	2
Chrysichthys_walkeri	1	2
Hydrolycus_armatus	1	2
Cinetodus_carinatus	1	2
Syncrossus_hymenophysa	1	2
Callichthyidae	1	2
Decapogon_sp._Schaefer_1987	1	2
Xyliphius_sp._Chen_1994	1	2
Schilbidae	1	1
Rhamdia_sp._Kailola_2004	1	2
Cynoglossidae	0	0
Trogloglanis_pattersoni	1	2
Hemibagrus_punctatus	1	2
Luxilus_pilsbryi	1	2
Hoplerythrinus_unitaeniatus	1	2
Corydoras_ambiacus	1	2
Sternopygus_astrabes	1	2
Corydoras_vittatus	1	2
Parauchenoglanis_ahli	1	2
Microdevario_nana	1	2
Trichiurus	1	2
Plicofollis_polystaphylodon	1	2
Anodus_elongatus	1	2
Tocantinsia_piresi	1	2
Erethistoides_montana	1	2
Malapterurus_electricus	1	2
Rhinichthys_falcatus	1	2
Brachionichthyidae	1	2
Liparis_liparis	1	2
Centrophryne_spinulosa	1	1
Apteronotus_magdalenensis	1	2
Rhabdalestes_septentrionalis	1	2
Chrysichthys_longipinnis	1	2
Amblydoras_sp._Friel_1994	1	2
Gymnotidae	1	1
Brycon_sp._Lucena_and_Menezes_1998	1	2
Synodontis_albolineata	1	2
Corydoras_barbatus_sp._II_Britto_2003	1	2
Neochanna_apoda	1	1
Gnathobagrus_depressus	1	2
Anablepidae	1	2
Saurida_brasiliensis	1	2
Enchodus_gracilis	1	2
Hydrolycus_tatauaia	1	2
Oryzias_setnai	1	2
Notropis_altipinnis	1	2
Alestes_baremoze	1	2
